スポット名,書籍名,人物,施設名,所在地,緯度,経度
荒磯遊歩道,,高浜虚子・伊藤柏翠・森田愛子,高浜虚子・伊藤柏翠・森田愛子句碑,,36.231095,136.131555
荒磯遊歩道,,高見順,高見順詩碑,,36.231095,136.131555
三好達治旧居跡,日光月光集,三好達治,,坂井市三国町米ケ脇,36.225504,136.132616
三好達治旧居跡,,三好達治,三好達治碑,,36.225504,136.132616
三里浜,らっきょうの花,花登筐,,坂井市三国町新保～山岸,36.189006,136.138199
円蔵寺,,高見順,高見順の墓,坂井市三国町宿2-9-17,36.221814,136.139486
三国港,鳥の歌,五木寛之,,坂井市三国町宿,36.224196,136.132499
三国港,蟹の爪（女）,津村節子,,,36.224196,136.132499
滝谷寺,,高浜虚子・伊藤柏翠・森田愛子,高浜虚子・伊藤柏翠・森田愛子句碑,坂井市三国町滝谷1-7-15,36.221935,136.146104
みくに龍翔館,ニッポン発見記,池内紀,,坂井市三国町緑ヶ丘4-2-1,36.219957,136.151296
三国,虹,高浜虚子,,坂井市三国町,36.215364,136.147383
三国,火と夕陽（曽野綾子選集2）,曽野綾子,,,36.215364,136.147383
三国,その年の冬,立原正秋,,,36.215364,136.147383
三国,みだれ籠,津村節子,,,36.215364,136.147383
高見順生家,,高見順,高見順生家,坂井市三国町北本町3丁目,36.211829,136.15321
性海寺,,森田愛子,森田愛子句碑,坂井市三国町南本町4-4-8,36.210413,136.153281
唯稱寺,花の香,三好達治,,坂井市三国町山王2-3-3,36.210166,136.154411
妙海寺,,哥川,哥川句碑,坂井市三国町山王2-5-40　,36.286769,136.252364
吉崎,蓮如,丹羽文雄,,あわら市吉崎,36.269999,136.238185
吉崎,大いなる坂,大谷晃一,,,36.269999,136.238185
吉崎,小説蓮如,百瀬明治,,,36.269999,136.238185
吉崎,蓮如　夏の嵐,岳宏一郎,,,36.269999,136.238185
吉崎,肉付きの面,柳久哉,,,36.269999,136.238185
北潟湖,蘆（井上靖短編集　第4巻）,井上靖,,あわら市北潟,36.257045,136.281334
牛ノ谷,怪語（新編泉鏡花集第9巻）,泉鏡花,,あわら市牛ノ谷,36.224463,136.193861
芦原温泉,越前竹人形,水上勉,,あわら市温泉,36.224463,136.193861
芦原温泉,ゆきなだれ,泡坂妻夫,,,36.224463,136.193861
芦原温泉,温泉めぐり,田山花袋,,,36.224463,136.193861
芦原温泉,怒りの北陸本線,西村京太郎,,,36.224463,136.193861
芦原温泉,小説ちはやふる　中学生編2,時海結以,,,36.224463,136.193861
芦原温泉,,与謝野晶子,与謝野晶子歌碑,,36.224463,136.193861
演仙寺,,多田裕計,多田裕計の墓,坂井市坂井町御油田8-8,36.176172,136.253899
丸岡一本田,,中野重治・中野鈴子,中野重治・鈴子生家跡,坂井市丸岡町一本田,36.150388,136.260615
丸岡一本田,,中野重治・中野鈴子,中野重治・中野鈴子文学碑,,36.150388,136.260615
丸岡一本田,,中野重治・中野鈴子,中野家墓所,,36.150388,136.260615
丸岡一本田,梨の花,中野重治,,,36.150388,136.260615
丸岡一本田,おばあさんの村,中野重治,,,36.150388,136.260615
丸岡一本田,記（花もわたしを知らない）,中野鈴子,,,36.150388,136.260615
丸岡一本田,夏の栞,佐多稲子,,,36.150388,136.260615
中野重治文庫記念,,中野重治,中野重治文学碑,坂井市丸岡町霞町3-10-1,36.153182,136.275449
坂井市立丸岡図書館,,,,,36.153182,136.275449
開高健文学碑,,開高健,開高健文学碑,坂井市丸岡町一本田福所9-5,36.159091,136.260358
皆吉爽雨旧居跡・句碑,,皆吉爽雨,皆吉爽雨旧居跡・句碑,坂井市丸岡町本町,36.150632,136.270629
丸岡城,私の故郷（中野重治全集第26巻）,中野重治,,坂井市丸岡町霞町1-59,36.152359,136.272109
丸岡城,,皆吉爽雨,皆吉爽雨句碑（霞ヶ城公園内）,,36.152359,136.272109
越前竹人形の里,竹人形殺人事件,内田康夫,,坂井市丸岡町上久米田63-1,36.108186,136.324694
春江町江留,絹扇,津村節子,,坂井市春江町江留,36.1270927,136.2223708
北谷,竜とわれらの時代,川端裕人,,勝山市北谷,36.115486,136.546581
北谷,雨の恐竜,山田正紀,,,36.115486,136.546581
北谷,恐竜を掘ろう,大和田伸也,,,36.115486,136.546581
勝山,香具師の旅,田中小実昌,,,36.06086,136.50064
勝山,織姫（霧棲む里）,津村節子,,,36.06086,136.50064
勝山,雪の棺（遊園地）,津村節子,,,36.06086,136.50064
勝山,我が標的は日本,桑原譲太郎,,,36.06086,136.50064
平泉寺,さまよう霧の恋歌,高橋治,,勝山市平泉寺町平泉寺56河上,36.043964,136.542157
平泉寺,透光の樹,高樹のぶ子,,,36.043964,136.542157
平泉寺,かくれ里,白洲正子,,,36.043964,136.542157
平泉寺,義経記,,,,36.043964,136.542157
奥越高原,奥越高原殺人リゾート,水城雄,,勝山市平泉寺・大野市南六呂師,36.022595,136.578287
奥越高原,旅は風のように,戸塚文子,,,36.022595,136.578287
鳩ヶ湯,月の十日,三好達治,,大野市上打波6-2,36.018477,136.669252
大野城,幕末早春賦,有明夏夫,,大野市城町3-109,35.986641,136.483087
大野城,そろばん武士道,大島昌宏,,,35.986641,136.483087
大野城,朔,綱淵謙錠,,,35.986641,136.483087
大野城,海の街道,童門冬二,,,35.986641,136.483087
大野城,山峡の城（無茶の勘兵衛日月録）,浅黄斑,,,35.986641,136.483087
大野市街,加奈子,小山内美江子,,大野市,35.9797,136.4875
大野市街,胸より胸へ,山崎朋子,,,35.9797,136.4875
大野市街,九十八の旅物語,俵万智,,,35.9797,136.4875
大野市街,立ち読みの楽しみ（生命ある限り）,曽野綾子,,,35.9797,136.4875
大野市街,暦物語,正津勉,,,35.9797,136.4875
荒島岳,日本百名山,深田久弥,,大野市西勝原,35.934355,136.601256
荒島岳,越前の山荒島岳（瀟洒なる自然）,深田久弥,,,35.934355,136.601256
荒島岳,さよなら、十六歳（遊山）,正津勉,,,35.934355,136.601256
山口誓子句碑,,山口誓子,山口誓子句碑,福井県大野市朝日24-9　穴馬民俗館,35.904626,136.660219
九頭竜湖,流星（菊日和）,津村節子,,大野市箱ケ瀬,35.877439,136.697493
九頭竜湖,花がたみ,津村節子,,,35.877439,136.697493
九頭竜湖,金沢郡上殺人ライン,石川真介,,,35.877439,136.697493
温見,能郷白山と温見（回想の山山）,桑原武夫,,大野市温見,35.803359,136.476028
越前岬,蛍川,宮本輝,,越前町,35.981978,135.957996
越前岬,越の道,水上勉,,,35.981978,135.957996
越前岬,眼ある花々,開高健,,,35.981978,135.957996
越前岬,行きつ戻りつ,乃南アサ,,,35.981978,135.957996
越前岬,越前海岸殺人事件,山村美紗,,,35.981978,135.957996
越前岬,越前岬の女,齋藤澪,,,35.981978,135.957996
越前岬,越前岬殺人事件,梓林太郎,,,35.981978,135.957996
越前岬,日本三大水仙郷殺人ライン,和久峻三,,,35.981978,135.957996
越前岬,ニッポン・あっちこっち,安西水丸,,,35.981978,135.957996
越前岬,妻一人娘二人猫五匹,永六輔,,,35.981978,135.957996
